"owner","field","file","occurrences"
"revenue","platform_fee_amount",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"summary","completed_enrollments",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"summary","completion_rate",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","2"
"summary","paid_orders",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"summary","total_courses",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","3"
"summary","total_enrollments",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","2"
"summary","total_instructors",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"summary","total_learners",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"summary","total_orders",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","2"
"summary","total_published_courses",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","1"
"summary","total_users",".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js","3"
"course","approved_at",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"course","course_id",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"course","created_at",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"course","gross_revenue",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"course","id",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"course","instructor_name",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","2"
"course","published_at",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"course","sales_count",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"course","status",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","4"
"course","title",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","4"
"data","dashboard",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","3"
"data","items",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","2"
"data","revenue_report",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"data","top_courses",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"data","top_instructors",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"item","badgeClass",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"item","borderClass",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"item","btnClass",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"item","btnText",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"item","className",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","2"
"item","count",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","2"
"item","date",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"item","desc",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"item","gross_amount",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"item","innerHTML",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","2"
"item","instructor_amount",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"item","link",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"item","platform_fee_amount",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"item","title",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"order","amount",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"order","course",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","4"
"order","id",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"order","learner_name",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"order","paid_at",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
